"POT NUMBER","Treatment Type","Line","Pot","Treatment","Tray","Biomass","Fruit Number","Abort Number","Silique Length","Tray","Treatment","Pot","Height (mm)","Leaf #","rosdiam",,,,,,,,
148,"FERTILIZER",94332,148,"highwater",8,0.01,14,8,8.1,8,"high H2O",148,142,6,2.89,,,,,,,,
149,"FERTILIZER",150522,149,"highwater",8,0.12,77,10,12.7,8,"high H2O",149,388,35,5.99,,,,,,,,
150,"FERTILIZER",42704,150,"highwater",8,0.04,9,76,6,8,"high H2O",150,234,14,4.59,,,,,,,,
151,"FERTILIZER","cs60000",151,"highwater",8,0.08,51,7,10.6,8,"high H2O",151,324,25,4.19,,,,,,,,
152,"FERTILIZER",54680,152,"highwater",8,0.01,0,14,"0 n/a",8,"high H2O",152,90,6,2.9,,,,,,,,
153,"FERTILIZER",38957,153,"highwater",".",".","ns",".",".",8,"high H2O",153,"np",".",".",,,,,,,,
154,"FERTILIZER","cs60000",154,"highwater",".",".","ns",".",".",8,"high H2O",154,"np",".",".",,,,,,,,
155,"FERTILIZER","ECOTYPE - 1436",155,"highwater",".",".","ns",".",".",8,"high H2O",155,"np",".",".",,,,,,,,
156,"FERTILIZER",54680,156,"highwater",8,0.03,26,19,11.5,8,"high H2O",156,179,36,6.37,,,,,,,,
157,"FERTILIZER",33462,157,"highwater",".",".","ns",".",".",8,"high H2O",157,"np",".",".",,,,,,,,
158,"FERTILIZER",33462,158,"highwater",".",".","ns",".",".",8,"high H2O",158,"np",".",".",,,,,,,,
159,"FERTILIZER",17933,159,"highwater",".",".","ns",".",".",8,"high H2O",159,"np",".",".",,,,,,,,
160,"FERTILIZER",54680,160,"highwater",8,0.01,4,24,8.9,8,"high H2O",160,174,".",4.01,,,,,,,,
161,"FERTILIZER","ECOTYPE - 22631",161,"highwater",".",".","ns",".",".",9,"high H2O",161,"np",".",".",,,,,,,,
162,"FERTILIZER",150522,162,"highwater",".",".","ng",".",".",9,"high H2O",162,"np-bs",".",".",,,,,,,,
163,"FERTILIZER","cs60000",163,"highwater",".",".","ns",".",".",9,"high H2O",163,"np",".",".",,,,,,,,
164,"FERTILIZER",59835,164,"highwater",9,0.02,28,12,9.7,9,"high H2O",164,254,9,4.28,,,,,,,,
165,"FERTILIZER","ECOTYPE - 1436",165,"highwater",".",".","ns",".",".",9,"high H2O",165,"np",".",".",,,,,,,,
166,"FERTILIZER",17933,166,"highwater",".",".","ns",".",".",9,"high H2O",166,"np",".",".",,,,,,,,
167,"FERTILIZER",59835,167,"highwater",".",".","ns",".",".",9,"high H2O",167,"np",".",".",,,,,,,,
168,"FERTILIZER","ECOTYPE - 22587",168,"highwater",".",".","ns",".",".",9,"high H2O",168,"np",".",".",,,,,,,,
169,"FERTILIZER","ECOTYPE - 22587",169,"highwater",".",".","ns",".",".",9,"high H2O",169,"np",".",".",,,,,,,,
170,"FERTILIZER",126600,170,"highwater",9,0,0,8,"0 n/a",9,"high H2O",170,19,0,0.79,,,,,,,,
171,"FERTILIZER",63722,171,"highwater",9,0.02,16,15,10.1,9,"high H2O",171,129,11,2.64,,,,,,,,
172,"FERTILIZER",42704,172,"highwater",9,0.02,18,9,7.8,9,"high H2O",172,160,13,2.59,,,,,,,,
173,"FERTILIZER",126600,173,"highwater",".",".","ng",".",".",9,"high H2O",173,"np-ys",".",".",,,,,,,,
174,"FERTILIZER",54680,174,"highwater",9,0,1,11,"0 n/a",9,"high H2O",174,65,3,1.16,,,,,,,,
175,"FERTILIZER","cs60000",175,"highwater",9,0.01,11,1,8.3,9,"high H2O",175,129,6,2.8,,,,,,,,
176,"FERTILIZER","ECOTYPE - 22623",176,"highwater",9,0.08,87,12,7.8,9,"high H2O",176,425,18,5.71,,,,,,,,
177,"FERTILIZER",134535,177,"highwater",".",".","ns",".",".",9,"high H2O",177,"np",".",".",,,,,,,,
178,"FERTILIZER",33462,178,"highwater",9,0.01,0,10,"0 n/a",9,"high H2O",178,39,8,5.52,,,,,,,,
179,"FERTILIZER",134535,179,"highwater",".",".","ng",".",".",9,"high H2O",179,"np",".",".",,,,,,,,
180,"FERTILIZER",17933,180,"highwater",9,0.01,10,10,6.5,9,"high H2O",180,148,8,3.23,,,,,,,,
181,"FERTILIZER",94332,181,"highwater",".",".","ns",".",".",10,"high H2O",181,"np",".",".",,,,,,,,
182,"FERTILIZER",59835,182,"highwater",".",".","ns",".",".",10,"high H2O",182,"np",".",".",,,,,,,,
183,"FERTILIZER",63722,183,"highwater",10,0,0,22,"0 n/a",10,"high H2O",183,41,7,1.18,,,,,,,,
184,"FERTILIZER",59835,184,"highwater",10,0.01,1,19,5.1,10,"high H2O",184,132,6,2.45,,,,,,,,
185,"FERTILIZER",126600,185,"highwater",10,0.01,13,8,7.7,10,"high H2O",185,132,6,2.66,,,,,,,,
