"tagnum","line","SALK_Line","fruits.removed","alive.at.harvest","comments"
1121,"098302c","SALK_098302C",0,1,
1122,"098302c","SALK_098302C",0,1,
1123,"098302c","SALK_098302C",0,1,
1124,"098302c","SALK_098302C",0,1,
1125,"098302c","SALK_098302C",0,1,
1126,"098302c","SALK_098302C",0,1,
1127,"098302c","SALK_098302C",0,1,
1128,"098302c","SALK_098302C",0,1,
1129,"134703c","SALK_134703C",0,1,
1130,"134703c","SALK_134703C",3,1,
1131,"134703c","SALK_134703C",0,1,
1132,"134703c","SALK_134703C",0,1,
1133,"134703c","SALK_134703C",0,1,
1134,"134703c","SALK_134703C",0,1,
1135,"134703c","SALK_134703C",0,1,
1136,"134703c","SALK_134703C",0,0,
1137,"033323c","SALK_033323C",0,1,
1138,"033323c","SALK_033323C",3,1,
1139,"033323c","SALK_033323C",0,1,
1140,"033323c","SALK_033323C",0,1,
1141,"033323c","SALK_033323C",0,1,
1142,"033323c","SALK_033323C",0,1,
1143,"033323c","SALK_033323C",0,1,
1144,"033323c","SALK_033323C",0,1,
1145,"033323c","SALK_033323C",0,1,
1146,"033323c","SALK_033323C",0,1,
1147,"011077c","SALK_011077C",0,1,
1148,"011077c","SALK_011077C",0,1,
1149,"011077c","SALK_011077C",0,1,
1150,"011077c","SALK_011077C",0,0,
1151,"011077c","SALK_011077C",0,1,
1152,"011077c","SALK_011077C",0,0,
1153,"011077c","SALK_011077C",3,1,
1154,"050488c","SALK_050488C",0,1,
1155,"050488c","SALK_050488C",3,1,
1156,"050488c","SALK_050488C",0,1,
1157,"050488c","SALK_050488C",0,1,
1158,"050488c","SALK_050488C",0,1,
1159,"050488c","SALK_050488C",0,0,
1160,"132285c","SALK_132285C",0,1,
1161,"132285c","SALK_132285C",0,1,
1162,"132285c","SALK_132285C",0,0,
1163,"132285c","SALK_132285C",0,1,
1164,"132285c","SALK_132285C",0,1,
1165,"132285c","SALK_132285C",0,1,
1166,"132285c","SALK_132285C",0,1,
1167,"132285c","SALK_132285C",0,1,
1168,"132285c","SALK_132285C",3,1,
1169,"132285c","SALK_132285C",0,1,
1170,"132285c","SALK_132285C",0,1,
1171,"132285c","SALK_132285C",0,1,
1172,"009120c","SALK_009120C",0,1,
1173,"009120c","SALK_009120C",0,1,
1174,"009120c","SALK_009120C",3,1,
1175,"009120c","SALK_009120C",0,1,
1176,"009120c","SALK_009120C",0,1,
1177,"009120c","SALK_009120C",0,1,
1178,"009120c","SALK_009120C",0,0,
1179,"009120c","SALK_009120C",0,1,
1180,"058993c","SALK_058993C",0,1,
1181,"058993c","SALK_058993C",0,1,
1182,"058993c","SALK_058993C",0,1,
1183,"058993c","SALK_058993C",0,1,
1184,"058993c","SALK_058993C",0,1,
1185,"058993c","SALK_058993C",0,1,"Wrote 050993C during transcription of data"
1186,"058993c","SALK_058993C",0,1,
1187,"058993c","SALK_058993C",0,1,
1188,"058993c","SALK_058993C",0,1,
1189,"135544c","SALK_135544C",3,1,
1190,"135544c","SALK_135544C",0,1,
1191,"135544c","SALK_135544C",0,1,
1192,"135544c","SALK_135544C",0,1,
1193,"135544c","SALK_135544C",0,1,
1194,"135544c","SALK_135544C",0,1,
1195,"135544c","SALK_135544C",0,1,
1196,"135544c","SALK_135544C",0,1,
1197,"033462c","SALK_033462C",0,1,
1198,"033462c","SALK_033462C",0,1,
1199,"033462c","SALK_033462C",0,1,
1200,"033462c","SALK_033462C",0,1,
1201,"033462c","SALK_033462C",0,1,
1202,"033462c","SALK_033462C",0,1,
1203,"033462c","SALK_033462C",3,1,
1204,"033462c","SALK_033462C",0,0,
1205,"033462c","SALK_033462C",0,1,
1206,"033462c","SALK_033462C",0,1,
1207,"033462c","SALK_033462C",0,1,
1208,"cs60000","CS60000",0,1,
1209,"cs60000","CS60000",0,1,
1210,"cs60000","CS60000",0,1,
1211,"cs60000","CS60000",0,1,
1212,"cs60000","CS60000",0,1,
1213,"cs60000","CS60000",0,1,
1214,"cs60000","CS60000",0,1,
1215,"cs60000","CS60000",0,1,
1216,"cs60000","CS60000",0,1,
1217,"cs60000","CS60000",0,1,
1218,"cs60000","CS60000",0,1,
1219,"cs60000","CS60000",0,1,
1220,"103724c","SALK_103724C",0,1,"somehow transcribed “105124”"
1221,"103724c","SALK_103724C",0,1,
1222,"103724c","SALK_103724C",0,1,
1223,"103724c","SALK_103724C",0,1,
1224,"103724c","SALK_103724C",3,1,
1225,"103724c","SALK_103724C",0,1,
1226,"103724c","SALK_103724C",0,1,
1227,"103724c","SALK_103724C",0,1,
1228,"103724c","SALK_103724C",0,1,
1229,"103724c","SALK_103724C",0,1,
1230,"103724c","SALK_103724C",0,1,
1231,"149402c","SALK_149402C",0,1,
1232,"149402c","SALK_149402C",3,1,
1233,"149402c","SALK_149402C",0,1,
1234,"149402c","SALK_149402C",0,1,
1235,"149402c","SALK_149402C",0,1,
1236,"149402c","SALK_149402C",0,1,
1237,"149402c","SALK_149402C",0,1,
1238,"cs60000","CS60000",0,1,
1239,"cs60000","CS60000",0,1,
1240,"cs60000","CS60000",0,1,
1241,"cs60000","CS60000",0,1,
1242,"cs60000","CS60000",0,1,
1243,"cs60000","CS60000",0,1,
1244,"cs60000","CS60000",0,1,
1245,"cs60000","CS60000",0,1,
1246,"cs60000","CS60000",0,1,
1247,"cs60000","CS60000",0,1,
1248,"030336c","SALK_030336C",0,1,
1249,"030336c","SALK_030336C",0,1,
1250,"030336c","SALK_030336C",4,1,
1251,"030336c","SALK_030336C",0,1,
1252,"030336c","SALK_030336C",0,1,
1253,"030336c","SALK_030336C",0,1,
1254,"030336c","SALK_030336C",0,1,
1255,"042624c","SALK_042624C",3,1,
1256,"042624c","SALK_042624C",0,1,
1257,"042624c","SALK_042624C",0,1,
1258,"042624c","SALK_042624C",0,0,
1259,"042624c","SALK_042624C",0,1,
1260,"042624c","SALK_042624C",0,1,
1261,"042624c","SALK_042624C",0,1,
1262,"042624c","SALK_042624C",0,1,
1263,"074379c","SALK_074379C",0,1,
1264,"074379c","SALK_074379C",0,1,
1265,"074379c","SALK_074379C",0,1,
1266,"074379c","SALK_074379C",0,1,
1267,"074379c","SALK_074379C",0,1,
1268,"074379c","SALK_074379C",0,1,
1269,"074379c","SALK_074379C",3,1,
1270,"072966c","SALK_072966C",0,1,
1271,"072966c","SALK_072966C",0,1,
1272,"072966c","SALK_072966C",0,1,
1273,"072966c","SALK_072966C",0,1,
1274,"072966c","SALK_072966C",0,0,
1275,"072966c","SALK_072966C",3,1,
1276,"040514c","SALK_040514C",3,1,
1277,"040514c","SALK_040514C",0,0,
1278,"040514c","SALK_040514C",0,1,
1279,"040514c","SALK_040514C",0,0,
1280,"040514c","SALK_040514C",0,0,
1281,"127828c","SALK_127828C",0,1,
1282,"142894c","SALK_142894C",0,1,
1283,"142894c","SALK_142894C",0,1,
1284,"142894c","SALK_142894C",3,1,
1285,"005336c","SALK_005336C",0,1,
1286,"005336c","SALK_005336C",4,1,
1287,"005336c","SALK_005336C",0,1,
1288,"005336c","SALK_005336C",0,1,
1289,"005336c","SALK_005336C",0,0,
1290,"005336c","SALK_005336C",0,1,
1291,"042704c","SALK_042704C",0,1,
1292,"042704c","SALK_042704C",0,0,
1293,"042704c","SALK_042704C",3,1,
1294,"042704c","SALK_042704C",0,1,
1295,"042704c","SALK_042704C",0,1,
1296,"069385c","SALK_069385C",0,1,
1297,"069385c","SALK_069385C",0,1,
1298,"069385c","SALK_069385C",0,1,
1299,"069385c","SALK_069385C",3,1,
1300,"069385c","SALK_069385C",0,0,
1301,"144264c","SALK_144264C",0,0,
1302,"144264c","SALK_144264C",0,1,
1303,"144264c","SALK_144264C",0,1,
1304,"144264c","SALK_144264C",0,1,
1305,"144264c","SALK_144264C",0,1,
1306,"144264c","SALK_144264C",0,1,
1307,"144264c","SALK_144264C",0,0,
1308,"144264c","SALK_144264C",0,1,
1309,"144264c","SALK_144264C",0,1,
1310,"144264c","SALK_144264C",3,1,
1311,"144264c","SALK_144264C",0,0,
1312,"144264c","SALK_144264C",0,0,
1313,"NOT-USED","NOT-USED",,,
1314,"NOT-USED","NOT-USED",,,
1315,"NOT-USED","NOT-USED",,,
1316,"NOT-USED","NOT-USED",,,
1317,"NOT-USED","NOT-USED",,,
1318,"NOT-USED","NOT-USED",,,
1319,"NOT-USED","NOT-USED",,,
1320,"NOT-USED","NOT-USED",,,
1321,"NOT-USED","NOT-USED",,,
1322,"NOT-USED","NOT-USED",,,
1323,"NOT-USED","NOT-USED",,,
1324,"NOT-USED","NOT-USED",,,
1325,"NOT-USED","NOT-USED",,,
1326,"NOT-USED","NOT-USED",,,
1327,"NOT-USED","NOT-USED",,,
1328,"NOT-USED","NOT-USED",,,
1329,"NOT-USED","NOT-USED",,,
1330,"NOT-USED","NOT-USED",,,
1331,"NOT-USED","NOT-USED",,,
1332,"NOT-USED","NOT-USED",,,
1333,"NOT-USED","NOT-USED",,,
1334,"019635c","SALK_019635C",3,1,
1335,"019635c","SALK_019635C",0,1,
1336,"019635c","SALK_019635C",0,1,
1337,"019635c","SALK_019635C",0,0,
1338,"019635c","SALK_019635C",0,1,
1339,"118043c","SALK_118043C",0,1,
1340,"118043c","SALK_118043C",0,1,
1341,"118043c","SALK_118043C",3,1,
1342,"063722c","SALK_063722C",3,1,
1343,"063722c","SALK_063722C",0,1,
1344,"063722c","SALK_063722C",0,1,
1345,"063722c","SALK_063722C",0,1,
1346,"063722c","SALK_063722C",0,1,
1347,"063722c","SALK_063722C",0,1,
1348,"063722c","SALK_063722C",0,1,
1349,"063722c","SALK_063722C",0,1,
1350,"063722c","SALK_063722C",0,1,
1351,"063722c","SALK_063722C",0,1,
1352,"063722c","SALK_063722C",0,1,
1353,"063722c","SALK_063722C",0,1,
1354,"072465c","SALK_072465C",0,1,
1355,"072465c","SALK_072465C",0,1,
1356,"072465c","SALK_072465C",0,1,
1357,"072465c","SALK_072465C",3,1,
